Job;Operation;ToolSet;Processing Time
301;142;1173;79
288;133;1864;87
40;44;434;164
145;88;2534;174
53;84;3462;60
428;144;2281;69
232;22;2459;57
103;27;2529;62
13;134;2517;180
83;41;1489;101
307;15;283;39
11;107;2362;14
36;57;136;99
240;18;2763;32
17;95;1130;83
117;55;1872;180
45;60;1952;39
254;7;3186;61
44;112;1965;39
14;6;6;151
552;106;147;121
310;26;2115;29
356;3;124;88
179;66;1886;148
48;40;16;52
60;36;132;165
19;120;2323;164
1;28;2886;65
10;19;2119;96
333;105;157;62
93;24;524;115
69;73;665;33
294;39;846;52
134;78;1517;94
121;137;2552;53
49;48;1111;73
66;96;1127;161
21;132;1893;109
192;68;1413;44
126;50;1198;34
86;87;1312;175
92;138;1863;131
29;70;389;44
35;25;2954;4
57;111;1999;98
102;45;566;51
95;139;1530;137
154;8;552;114
351;114;586;62
2;52;1658;172
386;109;1343;156
132;54;1904;77
9;63;2487;63
7;122;2004;31
107;62;2062;12
84;83;1562;15
26;51;559;41
191;141;3140;143
152;77;125;81
73;20;2218;84
105;110;707;66
99;90;2464;153
114;75;1008;81
334;56;3137;136
75;115;2134;115
20;116;1804;73
27;72;2403;105
28;101;2516;144
144;94;55;60
267;5;1745;83
42;13;1265;71
41;117;336;34
38;124;377;76
80;65;2574;77
248;23;2590;29
700;49;558;93
97;119;2339;7
23;42;422;157
5;98;1526;66
18;100;1052;134
119;1;3150;68
200;10;1260;155
444;91;1873;172
111;58;1912;23
31;104;1478;72
113;31;1030;89
4;103;610;44
85;113;1738;27
8;121;1253;136
252;2;782;152
225;11;1612;98
77;43;1624;45
440;59;197;88
155;128;1748;131
50;140;278;139
166;85;439;172
193;29;2049;77
128;64;3172;78
0;76;475;55
15;102;1537;131
230;35;1192;120
96;80;187;176
138;47;2850;136
51;86;1890;137
217;99;2945;150
87;148;1974;36
350;46;1710;27
292;12;1250;169
269;135;740;24
32;30;630;104
33;92;1683;143
101;147;188;22
245;97;2921;60
12;131;921;147
54;81;3024;91
115;14;1744;123
79;93;3337;21
25;9;1291;84
205;67;550;168
169;37;1083;139
408;149;2349;78
34;71;1946;49
82;17;473;121
22;89;1115;109
68;79;3286;162
3;38;2418;42
37;21;1433;50
58;129;971;77
365;145;2303;166
522;32;2315;4
24;130;528;12
100;127;37;100
278;53;205;9
486;118;2994;87
91;69;1009;149
142;82;2672;121
174;33;2409;148
188;126;1899;21
326;34;959;150
46;61;2608;170
209;74;2360;36
116;123;2364;152
6;125;2474;90
