./input/MyInstancesSameToolSets/n=600,p=0.25,r=0.5,t=3096,v6.csv;./input/Processed/ToolSetInt.csv
5;720;1440
Machine: 0
351;0;0;39;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
7;0;39;180;1;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
73;0;180;191;1;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
394;0;191;335;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
394;1;335;465;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
335;0;465;493;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
335;1;493;574;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
208;0;574;726;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
216;0;726;845;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
216;1;845;950;0;24,26,27,38,63,74,189,247,368,503,528,734,871,872,873,874,1089,1142,1266,1269,1270,1272,1273,1275,1277,1279,1280,1288,1293,1294,1296,1322,1456,1460,1461,1592,2149,2154,2221,2240,2260,2315,2332,2410,2794,2796,2836,2842,2888,3306,3307,3421,3607,3627,3979,4229,4230,4450,4514,5998,6134,6136,6617,7018,7059,7368,7890,7891,7950,7953,7954,8275,8551,8559,8640,9053,9059,9112,9113,9114,
