TL1;TA08122;TA00071;TA02186;TA00283;TA00286;TA00287;TA00612;TA02222;TA05392;TA04320;TA00551;TA04369;TA08356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL2;TA08122;TA00071;TA02186;TA00283;TA00286;TA00287;TA00612;TA02222;TA05392;TA04320;TA00551;TA04369;TA08356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL3;TA00004;TA08000;TA08006;TA08009;TA08011;TA08018;TA08009_F;TA08027;TA08022;TA00051;TA00050;TA02662;TA09595;TA00649;TA00661;TA00069;TA00810;TA04997;TA04276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL4;TA00004;TA08002;TA08006;TA00004_F;TA08011;TA08014;TA08018;TA08027;TA08028;TA01974;TA08022;TA08023;TA08024;TA00051;TA00050;TA09595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL5;TA00004;TA08029;TA08000;TA08030;TA08002;TA08031;TA08004;TA08032;TA08006;TA08009;TA08008;TA00004_1;TA08033;TA08011;TA08034;TA08014;TA08035;TA08017;TA08018;TA08019;TA08036;TA08037;TA08038;TA08025;TA08026;TA08027;TA08028;TA01974;TA08020;TA08021;TA08022;TA08023;TA08024;TA00051;TA02784;TA07840;TA00050;TA00706;TA01153;TA00014;TA08084;TA00661;TA00670;TA11126;TA00466;TA00102;TA09595;TA00587;TA02320;TA00009;TA00061;TA00062;TA02162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL6;TA00004;TA08000;TA08002;TA08006;TA08009;TA08011;TA08014;TA08018;TA08009_F;TA08027;TA08022;TA00051;TA00050;TA02662;TA09595;TA00646;TA02395;TA07781;TA00466;TA00649;TA00650;TA00069;TA01178;TA00661;TA02203;TA05484;TA05485;TA12132;TA04997;TA00694;TA04276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL7;TA00004;TA08029;TA08002;TA08031;TA00004_F;TA08033;TA08035;TA08028;TA08023;TA00051;TA00050;TA09595;TA02203;TA05484;TA05485;TA00694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL8;TA07475;TA12073;TA12075;TA12076;TA12077;TA11889;TA11276;TA11202;TA00105;TA08148;TA08835;TA00290;TA02828;TA12149;TA09624;TA10075;TA10065;TA10059;TA10044;TA12150;TA08796;TA08795;TA08794;TA08684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL9;TA00004;TA08029;TA08000;TA08030;TA08002;TA08031;TA08004;TA08032;TA08006;TA08009;TA08008;TA00004_F;TA08033;TA08011;TA08034;TA08014;TA08035;TA08017;TA08018;TA08009_F;TA08019;TA08036;TA08037;TA08038;TA08025;TA08026;TA08027;TA08028;TA01974;TA08020;TA08021;TA08022;TA08023;TA08024;TA00051;TA02784;TA07840;TA00050;TA00137;TA10111;TA02662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL10;TA00004;TA08029;TA08000;TA08030;TA08002;TA08031;TA08004;TA08032;TA08006;TA08009;TA08008;TA00004_F;TA08033;TA08011;TA08034;TA08014;TA08035;TA08017;TA08018;TA08009_F;TA08019;TA08036;TA08037;TA08038;TA08025;TA08026;TA08027;TA08028;TA01974;TA08020;TA08021;TA08022;TA08023;TA08024;TA00051;TA02784;TA07840;TA00050;TA00137;TA10111;TA02662;TA01291;TA06003;TA05954;TA05502;IE00673;IE01297;CT05462;CT62520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL11;TA08029;TA01974;TA00050;TA02662;IE00673;IE00947;IE01896;CT62520;CT05462;CT05428;IE00009;IE00760;IE02350;TA00384;TA01014;TA02056;TA56042;TA12540;CT69000-1B3;CT69000-1A1;IA00022;CT16137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL12;TA00075;TA00081;TA00727;TA00737;TA00745;TA00916;TA04320;TA04369;TA04589;TA07520;TA08101;TA08122;TA08147;TA09624;TA09935;TA10643;TA11548;TA12030;TA12093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL13;TA08000;TA08030;TA08002;TA00032;TA08004;TA08011;TA08014;TA08019;TA08038;TA08025;TA08026;TA08027;TA08028;TA01974;TA08037;TA08022;TA08023;TA00051;TA07840;TA09453;TA08136;TA04459;TA10184;TA00989;TA10083;TA01068;TA10185;TA04024;TA02025;TA08554;TA04042;TA04043;TA10178;TA08587;TA10182;TA02407;TA10183;TA00027;TA00670;TA00434;TA10181;TA01033;TA10186;TA04420;TA10086;TA09131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TL14;TA08071;TA00564;TA02194;TA09846;TA08147;TA02188;TA02333;TA00085;TA00785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
