Job;Operation;ToolSet;Processing Time;Priority
0;0;2983;34;0
0;1;2893;69;0
1;0;1459;73;0
1;1;1832;75;0
2;0;2689;41;1
2;1;2712;37;1
3;0;1551;64;1
3;1;1307;66;1
4;0;1601;76;1
4;1;2090;39;1
5;0;1022;143;1
5;1;1470;96;1
6;0;2091;22;0
6;1;2860;45;0
7;0;3395;66;1
7;1;1475;157;1
8;0;2246;23;1
8;1;3460;125;1
9;0;3005;22;0
9;1;3444;101;0
10;0;2617;36;1
10;1;366;97;1
11;0;946;53;1
11;1;357;76;1
12;0;3359;12;1
12;1;2782;33;1
13;0;2968;39;1
13;1;2389;158;1
14;0;1375;152;0
14;1;1003;150;0
15;0;386;52;0
15;1;2647;105;0
16;0;703;66;1
16;1;634;162;1
17;0;1270;14;0
17;1;576;153;0
18;0;3148;94;0
18;1;1764;125;0
19;0;1527;149;0
19;1;996;164;0
20;0;2820;141;0
20;1;2284;47;0
21;0;1019;10;0
21;1;253;101;0
22;0;587;34;0
22;1;1599;154;0
23;0;3321;158;1
23;1;1246;90;1
24;0;1286;137;0
24;1;525;93;0
25;0;1447;17;0
25;1;1803;120;0
26;0;372;137;1
26;1;3187;60;1
27;0;1007;117;0
27;1;1885;91;0
28;0;2721;113;0
28;1;2351;18;0
29;0;1892;180;0
29;1;1245;7;0
30;0;1859;34;0
30;1;2762;49;0
31;0;987;139;0
31;1;823;109;0
32;0;2849;12;1
32;1;2946;41;1
33;0;1279;161;1
33;1;1067;76;1
34;0;251;86;1
34;1;2861;178;1
35;0;1914;30;1
35;1;601;180;1
36;0;316;98;0
36;1;801;147;0
37;0;1669;180;1
37;1;2221;37;1
38;0;2550;45;0
38;1;2909;50;0
39;0;3416;121;1
39;1;1691;136;1
40;0;908;39;1
40;1;2733;149;1
41;0;2819;120;0
41;1;3330;123;0
42;0;2966;53;0
42;1;3192;83;0
43;0;3365;129;1
43;1;3454;46;1
44;0;1374;147;0
44;1;3343;34;0
45;0;1627;78;1
45;1;3179;105;1
46;0;966;77;0
46;1;2024;137;0
47;0;1735;4;0
47;1;352;80;0
48;0;220;45;0
48;1;2422;60;0
49;0;2099;169;1
49;1;3227;158;1
50;0;811;157;1
50;1;2855;157;1
51;0;3260;68;0
51;1;1396;115;0
52;0;3261;137;0
52;1;813;148;0
53;0;1679;4;1
53;1;1708;69;1
54;0;3319;172;1
54;1;1333;8;1
55;0;1519;115;1
55;1;3333;45;1
56;0;1284;164;0
